tipo,nombre,precio,localización,detalles,vendedor,fecha de publicación,link
Alquiler,Casa en alquiler en Cumbaya,$ 950,Cumbaya/Valle Tumbaco/Quito/Pichincha,3 habitaciones/3 baños/28195 m²,"Monicka Mena, Asesor Inmobiliario y de Remodelación",10/01/2023,https://www.properati.com.ec/detalle/gyvx_alquiler_casa_cumbaya_terraza_ventanales_cocina_comedor_monicka-mena-asesor-inmobiliario-y-de-remodelacio
Alquiler,Casa en alquiler en Manta,$ 350,Manta/Manabi,3 habitaciones/2 baños/90 m²,Ing  Marisela Mero - Manta Bienes Raíces,12/01/2023,https://www.properati.com.ec/detalle/gzn3_alquiler_casa_manta_patio_cocina_comedor_ing-marisela-mero-manta-bienes-raices
Alquiler,"Casa en arriendo, Norte de Quito, San Fernando",$ 400,"",3 habitaciones/2 baños/112 m²,"Monicka Mena, Asesor Inmobiliario y de Remodelación",17/01/2023,https://www.properati.com.ec/detalle/h03h_alquiler_casa_cochapamba_patio_cocina_comedor_monicka-mena-asesor-inmobiliario-y-de-remodelacio
Alquiler,Casa en alquiler en Salitre,$ 420,Salitre/Guayas,3 habitaciones/3 baños/120 m²,VILLAGE REAL ESTATE,20/01/2023,https://www.properati.com.ec/detalle/h1eu_alquiler_casa_salitre_patio_piscina_cocina_comedor_village-real-estate
Alquiler,Casa en alquiler en Cumbaya,$ 3.000,Cumbaya/Valle Tumbaco/Quito/Pichincha,4 habitaciones/4 baños/625 m²,Innova Real State,11/01/2023,https://www.properati.com.ec/detalle/gzbs_alquiler_casa_cumbaya_jardin_innova-real-state_opk4
Alquiler,Casa en alquiler en Cumbaya,$ 2.400,Cumbaya/Valle Tumbaco/Quito/Pichincha,4 habitaciones/5 baños/1050 m²,Innova Real State,11/01/2023,https://www.properati.com.ec/detalle/gzbu_alquiler_casa_cumbaya_piscina_cocina_comedor_innova-real-state_opk4
Alquiler,Casa en alquiler en Samborondon,$ 550,Samborondon/Samborondon/Guayaquil/Guayas,3 habitaciones/2 baños/110 m²,Mariuxi Vera,10/01/2023,https://www.properati.com.ec/detalle/gyxy_alquiler_casa_samborondon_patio_areas-verdes_piscina_cocina_comedor_mariuxi-vera_opbf
Alquiler,Casa en alquiler en Tumbaco,$ 750,Tumbaco/Valle Tumbaco/Quito/Pichincha,3 habitaciones/3 baños/130 m²,Innova Real State,11/01/2023,https://www.properati.com.ec/detalle/gzc7_alquiler_casa_tumbaco_patio_garaje_comedor_innova-real-state_opk4
Alquiler,Casa en alquiler en Calderón,$ 1.300,Calderón/Norte De Quito/Quito/Pichincha,5 habitaciones/4 baños/320 m²,Bienes Raices ProMon,13/01/2023,https://www.properati.com.ec/detalle/gzrq_alquiler_casa_calderon_jardin_patio_terraza_area-bbq_cocina_comedor_bienes-raices-promon
Alquiler,Casa en alquiler en Cumbaya,$ 850,Cumbaya/Valle Tumbaco/Quito/Pichincha,3 habitaciones/2 baños/250 m²,Capri Inmobiliario,18/01/2023,https://www.properati.com.ec/detalle/h0bu_alquiler_casa_cumbaya_parrilla_jardin_patio_terraza_garaje_capri-inmobiliario
Alquiler,Casa en alquiler en Norte De Guayaquil,$ 580,Norte De Guayaquil/Guayaquil/Guayas,4 habitaciones/2 baños/357 m²,TOP REALTORS EC,24/12/2022,https://www.properati.com.ec/detalle/gx2e_alquiler_casa_norte-de-guayaquil_bodega_garaje_cocina_comedor_top-realtors-ec
Alquiler,Casa en alquiler en Calderón,$ 1.300,Calderón/Norte De Quito/Quito/Pichincha,5 habitaciones/4 baños/320 m²,Bienes Raices ProMon,13/01/2023,https://www.properati.com.ec/detalle/gzrq_alquiler_casa_calderon_jardin_patio_terraza_area-bbq_cocina_comedor_bienes-raices-promon
Alquiler,Casa en alquiler en Cumbaya,$ 850,Cumbaya/Valle Tumbaco/Quito/Pichincha,3 habitaciones/2 baños/250 m²,Capri Inmobiliario,18/01/2023,https://www.properati.com.ec/detalle/h0bu_alquiler_casa_cumbaya_parrilla_jardin_patio_terraza_garaje_capri-inmobiliario
Alquiler,Casa en alquiler en Manta,$ 435,Manta/Manabi,3 habitaciones/2 baños/106 m²,Ing  Marisela Mero - Manta Bienes Raíces,23/12/2022,https://www.properati.com.ec/detalle/gwyo_alquiler_casa_manta_piscina_ing-marisela-mero-manta-bienes-raices
Alquiler,Casa en alquiler en Rumipamba,$ 2.500,Rumipamba/Centro Norte/Quito/Pichincha,4 habitaciones/4 baños/500 m²,Inmolujo,09/01/2023,https://www.properati.com.ec/detalle/gys1_alquiler_casa_rumipamba_amoblados_jardin_bodega_area-bbq_areas-verdes_cocina_comedor_inmolujo
Alquiler,Casa en alquiler en Manta,$ 550,Manta/Manabi,2 habitaciones/3 baños/125 m²,VIVEENMANTA COM,17/01/2023,https://www.properati.com.ec/detalle/h0b4_alquiler_casa_manta_viveenmanta-com
Alquiler,Casa en alquiler en Cuenca,$ 1.380,Cuenca/Azuay,6 habitaciones/4 baños/800 m²,CUENCA CONDOS,19/01/2023,https://www.properati.com.ec/detalle/h15k_alquiler_casa_el-ejido_amoblados_jardin_patio_balcon_areas-verdes_garaje_cocina_carmen-rodriguez-cuenca-condos
Alquiler,RENTA VILLA AMOBLADA DE 2 PLANTAS 3 DORMITORIOS EN PUERTO AZUL A LA DERECHA PUERTA 1,$ 1.900,"",3 habitaciones/5 baños/800 m²,Galo Guevara,19/01/2023,https://www.properati.com.ec/detalle/h16o_alquiler_casa_via-a-la-costa_patio_balcon_piscina_garaje_walk-in-closet_cocina_comedor_galo-guevara_opmx
Alquiler,Casa en alquiler en Calderón,$ 550,Calderón/Norte De Quito/Quito/Pichincha,4 habitaciones/4 baños/200 m²,ANKHA REAL ESTATE,11/01/2023,https://www.properati.com.ec/detalle/gz4h_alquiler_casa_calderon_ciclovias-de-quito_metro-de-quito_terraza_balcon_cocina_comedor_ankha-real-estate_opjz
Alquiler,Casa en alquiler en Puembo,$ 500,Puembo/Valle Tumbaco/Quito/Pichincha,3 habitaciones/1 baño/92 m²,ANKHA REAL ESTATE,17/01/2023,https://www.properati.com.ec/detalle/h08l_alquiler_casa_puembo_patio_cocina_comedor_ankha-real-estate_opjz
Alquiler,Casa en alquiler en Conocoto,$ 500,Conocoto/Valle Los Chillos/Quito/Pichincha,3 habitaciones/3 baños/140 m²,Maria Elena Jacome,03/01/2023,https://www.properati.com.ec/detalle/gxie_alquiler_casa_conocoto_patio_walk-in-closet_cocina_comedor_maria-elena-jacome
Alquiler,Casa en alquiler en Conocoto,$ 450,Conocoto/Valle Los Chillos/Quito/Pichincha,3 habitaciones/2 baños/138 m²,Maria Elena Jacome,20/01/2023,https://www.properati.com.ec/detalle/h1fi_alquiler_casa_conocoto_patio_area-bbq_areas-verdes_cocina_comedor_maria-elena-jacome
Alquiler,Casa en alquiler en Tumbaco,$ 780,Tumbaco/Valle Tumbaco/Quito/Pichincha,3 habitaciones/3 baños/192 m²,Innova Real State,17/01/2023,https://www.properati.com.ec/detalle/h055_alquiler_casa_tumbaco_terraza_piscina_cocina_comedor_innova-real-state_opk4
Alquiler,Casa en alquiler en Conocoto,$ 450,Conocoto/Valle Los Chillos/Quito/Pichincha,3 habitaciones/2 baños/93 m²,ANKHA REAL ESTATE,11/01/2023,https://www.properati.com.ec/detalle/gz4d_alquiler_casa_conocoto_terraza_cocina_comedor_ankha-real-estate_opjz
Alquiler,Casa en alquiler en Conocoto,$ 500,Conocoto/Valle Los Chillos/Quito/Pichincha,3 habitaciones/2 baños/141 m²,INMOGEST GESTIÓN INMOBILIARIA,16/01/2023,https://www.properati.com.ec/detalle/gzzu_alquiler_casa_conocoto_gimnasio_patio_areas-verdes_piscina_inmogest-gestion-inmobiliaria
Alquiler,Casa en alquiler en Pomasqui,$ 405,Pomasqui/Norte De Quito/Quito/Pichincha,3 habitaciones/2 baños/100 m²,ANKHA REAL ESTATE,17/01/2023,https://www.properati.com.ec/detalle/h08o_alquiler_casa_pomasqui_patio_piscina_cocina_comedor_ankha-real-estate_opjz
Alquiler,Casa en alquiler en Lloa,$ 4.900,Lloa/Sur De Quito/Quito/Pichincha,5 habitaciones/5 baños/700 m²,Francisco Molina - Inmoimpakto,19/01/2023,https://www.properati.com.ec/detalle/h15t_alquiler_casa_lloa_amoblados_jardin_bodega_terraza_cocina_comedor_francisco-molina-inmoimpakto
Alquiler,Casa en alquiler en Cuenca,$ 2.000,Cuenca/Azuay,4 habitaciones/2 baños/1500 m²,www.redbienes.com,11/01/2023,https://www.properati.com.ec/detalle/gzd7_alquiler_casa_cuenca_patio_cocina_comedor_www-redbienes-com_op9x
Alquiler,Casa en alquiler en Conocoto,$ 399,Conocoto/Valle Los Chillos/Quito/Pichincha,3 habitaciones/2 baños/127 m²,CENTURY 21 Elite,18/01/2023,https://www.properati.com.ec/detalle/h0d1_alquiler_casa_conocoto_patio_areas-verdes_piscina_cocina_comedor_jadyra-corella
Alquiler,Casa en alquiler en Tumbaco,$ 750,Tumbaco/Valle Tumbaco/Quito/Pichincha,4 habitaciones/4 baños/300 m²,GM BIENES RAÍCES,22/12/2022,https://www.properati.com.ec/detalle/gwvt_alquiler_casa_tumbaco_patio_garaje_cocina_comedor_gm-bienes-raices
Alquiler,Casa en alquiler en Samborondon,$ 4.500,Samborondon/Samborondon/Guayaquil/Guayas,4 habitaciones/5 baños/400 m²,Asesores AndBeb & Soluciones And-Beb,13/01/2023,https://www.properati.com.ec/detalle/gzp3_alquiler_casa_samborondon_amoblados_piscina_garaje_cocina_comedor_bebzabeth-tomala-andino
Alquiler,Casa en alquiler en Calderón,$ 480,Calderón/Norte De Quito/Quito/Pichincha,3 habitaciones/2 baños/120 m²,Gino Ayala - Inmoimpakto,30/12/2022,https://www.properati.com.ec/detalle/gxc7_alquiler_casa_calderon_patio_terraza_cocina_comedor_gino-ayala-inmoimpakto
Alquiler,Casa en alquiler en El Condado,$ 2.500,El Condado/Norte De Quito/Quito/Pichincha,5 habitaciones/4 baños/500 m²,ANKHA REAL ESTATE,10/01/2023,https://www.properati.com.ec/detalle/gyw2_alquiler_casa_el-condado_patio_bodega_area-bbq_areas-verdes_piscina_cocina_comedor_ankha-real-estate_opjz
Alquiler,Casa en alquiler en Calderón,$ 630,Calderón/Norte De Quito/Quito/Pichincha,3 habitaciones/3 baños/160 m²,ANKHA REAL ESTATE,11/01/2023,https://www.properati.com.ec/detalle/gz49_alquiler_casa_calderon_bodega_terraza_balcon_cocina_comedor_ankha-real-estate_opjz
Alquiler,Casa en alquiler en Guayaquil,$ 500,Guayaquil/Guayas,3 habitaciones/3 baños/120 m²,Casanova Inmobiliaria,14/01/2023,https://www.properati.com.ec/detalle/gzvp_alquiler_casa_guayaquil_patio_cocina_comedor_casanova-inmobiliaria
Alquiler,Casa en alquiler en Centro De Quito,$ 1.500,Centro De Quito/Centro Colonial/Quito/Pichincha,14 habitaciones/6 baños/492 m²,"RE REAL ESTATE QUITO, ECUADOR",14/01/2023,https://www.properati.com.ec/detalle/gzv0_alquiler_casa_centro-de-quito_ciclovias-de-quito_metro-de-quito_patio_elena-soledad-calahorrano-jaramillo
Alquiler,Casa en alquiler en Cumbaya,$ 2.830,Cumbaya/Valle Tumbaco/Quito/Pichincha,4 habitaciones/5 baños/390 m²,Innova Real State,11/01/2023,https://www.properati.com.ec/detalle/gzbo_alquiler_casa_cumbaya_jardin_piscina_cocina_comedor_innova-real-state_opk4
Alquiler,Casa en alquiler en Kennedy,$ 850,Kennedy/Centro Norte/Quito/Pichincha,3 habitaciones/1 baño/360 m²,ANKHA REAL ESTATE,12/01/2023,https://www.properati.com.ec/detalle/gzjn_alquiler_casa_kennedy_patio_bodega_cocina_comedor_ankha-real-estate_opjz
Alquiler,Casa en alquiler en Conocoto,$ 1.500,Conocoto/Valle Los Chillos/Quito/Pichincha,4 habitaciones/2 baños/200 m²,ANKHA REAL ESTATE,11/01/2023,https://www.properati.com.ec/detalle/gz4l_alquiler_casa_conocoto_patio_bodega_terraza_cocina_comedor_ankha-real-estate_opjz
Alquiler,Casa en alquiler en El Inca,$ 850,El Inca/Jipijapa/Centro Norte/Quito/Pichincha,3 habitaciones/3 baños/200 m²,ANKHA REAL ESTATE,11/01/2023,https://www.properati.com.ec/detalle/gz4p_alquiler_casa_el-inca_cocina_comedor_ankha-real-estate_opjz
Alquiler,Casa en alquiler en Centro De Guayaquil,$ 400,Centro De Guayaquil/Guayaquil/Guayas,3 habitaciones/3 baños/110 m²,Nuevo Hogar,19/01/2023,https://www.properati.com.ec/detalle/h183_alquiler_casa_centro-de-guayaquil_patio_walk-in-closet_comedor_diana-coello
Alquiler,Casa en alquiler en Iñaquito,$ 4.500,Iñaquito/Centro Norte/Quito/Pichincha,2 habitaciones/2 baños/500 m²,Sky - Home ,10/01/2023,https://www.properati.com.ec/detalle/gyxa_alquiler_casa_inaquito_ciclovias-de-quito_bodega_nadya-chavez
Alquiler,Casa en alquiler en Guayaquil,$ 900,Guayaquil/Guayas,3 habitaciones/4 baños/170 m²,Alexandra Prado,19/01/2023,https://www.properati.com.ec/detalle/h14w_alquiler_casa_guayaquil_patio_bodega_piscina_garaje_cocina_comedor_alexandra-prado
Alquiler,Casa en alquiler en Tumbaco,$ 1.400,Tumbaco/Valle Tumbaco/Quito/Pichincha,3 habitaciones/4 baños/326 m²,Innova Real State,14/01/2023,https://www.properati.com.ec/detalle/gztv_alquiler_casa_tumbaco_areas-verdes_walk-in-closet_cocina_comedor_innova-real-state_opk4
Alquiler,Casa en alquiler en Cumbaya,$ 1.200,Cumbaya/Valle Tumbaco/Quito/Pichincha,3 habitaciones/2 baños/222 m²,Innova Real State,20/01/2023,https://www.properati.com.ec/detalle/h1cp_alquiler_casa_cumbaya_ciclovias-de-quito_parrilla_bodega_terraza_areas-verdes_ventanales_cocina_comedor_innova-real-state_opk4
Alquiler,Casa en alquiler en Nayón,$ 1.300,Nayón/Valle Tumbaco/Quito/Pichincha,4 habitaciones/4 baños/240 m²,Innova Real State,16/01/2023,https://www.properati.com.ec/detalle/gzz5_alquiler_casa_nayon_jardin_bodega_cocina_comedor_innova-real-state_opk4
Alquiler,Casa en alquiler en Cumbaya,$ 3.000,Cumbaya/Valle Tumbaco/Quito/Pichincha,4 habitaciones/4 baños/2500 m²,Innova Real State,17/01/2023,https://www.properati.com.ec/detalle/h057_alquiler_casa_cumbaya_bodega_areas-verdes_garaje_cocina_comedor_innova-real-state_opk4
Alquiler,Casa en alquiler en Rumipamba,$ 5.000,Rumipamba/Centro Norte/Quito/Pichincha,4 habitaciones/5 baños/600 m²,Innova Real State,17/01/2023,https://www.properati.com.ec/detalle/h059_alquiler_casa_rumipamba_ciclovias-de-quito_metro-de-quito_jardin_innova-real-state_opk4
Alquiler,Casa en alquiler en Cumbaya,$ 1.900,Cumbaya/Valle Tumbaco/Quito/Pichincha,3 habitaciones/4 baños/182 m²,Innova Real State,20/01/2023,https://www.properati.com.ec/detalle/h1ci_alquiler_casa_cumbaya_amoblados_patio_terraza_innova-real-state_opk4
Alquiler,Casa en alquiler en Cumbaya,$ 750,Cumbaya/Valle Tumbaco/Quito/Pichincha,3 habitaciones/2 baños/180 m²,Capri Inmobiliario,10/01/2023,https://www.properati.com.ec/detalle/gyz9_alquiler_casa_cumbaya_ciclovias-de-quito_patio_terraza_balcon_capri-inmobiliario
Alquiler,Casa en alquiler en Samborondon,$ 1.200,Samborondon/Samborondon/Guayaquil/Guayas,4 habitaciones/5 baños/194 m²,BIENES RAÍCES FLORES,16/12/2022,https://www.properati.com.ec/detalle/gvur_alquiler_casa_samborondon_jardin_patio_walk-in-closet_cocina_comedor_aquiles-alejandro-flores
Alquiler,Casa en alquiler en La Puntilla,$ 3.000,La Puntilla/Samborondon/Guayas,5 habitaciones/4 baños/500 m²,BIENES RAÍCES FLORES,20/01/2023,https://www.properati.com.ec/detalle/h1e6_alquiler_casa_la-puntilla_amoblados_jacuzzi_jardin_bodega_walk-in-closet_cocina_comedor_aquiles-alejandro-flores
Alquiler,Casa en alquiler en Cumbaya,$ 2.000,Cumbaya/Valle Tumbaco/Quito/Pichincha,4 habitaciones/5 baños/442 m²,Innova Real State,11/01/2023,https://www.properati.com.ec/detalle/gzcm_alquiler_casa_cumbaya_jacuzzi_jardin_patio_area-bbq_garaje_cocina_comedor_innova-real-state_opk4
Alquiler,Casa en alquiler en Via A La Costa,$ 2.400,Via A La Costa/Guayaquil/Guayas,5 habitaciones/5 baños/530 m²,Alexandra Prado,17/01/2023,https://www.properati.com.ec/detalle/h05i_alquiler_casa_via-a-la-costa_patio_bodega_piscina_garaje_walk-in-closet_cocina_comedor_alexandra-prado
Alquiler,Casa en alquiler en Iñaquito,$ 850,Iñaquito/Centro Norte/Quito/Pichincha,3 habitaciones/3 baños/120 m²,Innova Real State,11/01/2023,https://www.properati.com.ec/detalle/gzby_alquiler_casa_jipijapa_patio_terraza_comedor_innova-real-state_opk4
Alquiler,Casa en alquiler en Loja,$ 650,Loja/Loja,3 habitaciones/4 baños/230 m²,AQ INMOBILIARIA,27/12/2022,https://www.properati.com.ec/detalle/gx5y_alquiler_casa_loja_patio_bodega_garaje_cocina_comedor_aq-inmobiliaria
Alquiler,Casa en alquiler en Via A La Costa,$ 1.500,Via A La Costa/Guayaquil/Guayas,3 habitaciones/3 baños/312 m²,Remax Horizon,18/01/2023,https://www.properati.com.ec/detalle/h0dd_alquiler_casa_via-a-la-costa_piscina_cocina_pilar-salazar
Alquiler,Casa en alquiler en Puéllaro,$ 600,Puéllaro/Norte De Quito/Quito/Pichincha,4 habitaciones/2 baños/130 m²,Maria Elena Jacome,06/01/2023,https://www.properati.com.ec/detalle/gy2p_alquiler_casa_puellaro_balcon_area-bbq_cocina_comedor_maria-elena-jacome
Alquiler,Casa en alquiler en Machala,$ 1.200,Machala/El Oro,3 habitaciones/3 baños/170 m²,Cbr  Mara Eliza Coello,14/01/2023,https://www.properati.com.ec/detalle/gzvw_alquiler_casa_machala_amoblados_gimnasio_patio_areas-verdes_piscina_cocina_comedor_cbr-mara-eliza-coello
Alquiler,Casa en alquiler en Cuenca,$ 1.500,Cuenca/Azuay,5 habitaciones/6 baños/450 m²,Daniel Rodriguez,13/01/2023,https://www.properati.com.ec/detalle/gzr9_alquiler_casa_cuenca_gimnasio_jacuzzi_bodega_terraza_areas-verdes_piscina_cocina_comedor_daniel-rodriguez_opeb
Alquiler,Casa en alquiler en Machala,$ 650,Machala/El Oro,4 habitaciones/5 baños/190 m²,Cbr  Mara Eliza Coello,14/01/2023,https://www.properati.com.ec/detalle/gzvm_alquiler_casa_machala_patio_terraza_cocina_comedor_cbr-mara-eliza-coello
Alquiler,Casa en alquiler en Puengasí,$ 1.800,Puengasí/Centro Colonial/Quito/Pichincha,4 habitaciones/5 baños/1200 m²,PC INMOBILIARIA,18/01/2023,https://www.properati.com.ec/detalle/h132_alquiler_casa_puengasi_jacuzzi_jardin_piscina_cocina_comedor_pc-inmobiliaria
Alquiler,Casa en alquiler en Cumbaya,$ 1.300,Cumbaya/Valle Tumbaco/Quito/Pichincha,4 habitaciones/4 baños/350 m²,Visión Inmobiliaria,20/01/2023,https://www.properati.com.ec/detalle/h1bz_alquiler_casa_cumbaya_jardin_terraza_areas-verdes_vision-inmobiliaria
Alquiler,Casa en alquiler en Kennedy,$ 920,Kennedy/Centro Norte/Quito/Pichincha,4 habitaciones/3 baños/350 m²,"Inmoinversiones, Inmobiliaria, Bienes Raices, Arriendos.",10/01/2023,https://www.properati.com.ec/detalle/gyzx_alquiler_casa_kennedy_patio_terraza_walk-in-closet_comedor_inmoinversiones-inmobiliaria-rentas
Alquiler,Casa en alquiler en Guayaquil,$ 300,Guayaquil/Guayas,3 habitaciones/3 baños/91 m²,INVERTAS Soluciones Inmobiliarias S  A,23/12/2022,https://www.properati.com.ec/detalle/gwz8_alquiler_casa_guayaquil_patio_cocina_comedor_invertas-soluciones-inmobiliarias-s-a
Alquiler,Casa en alquiler en Quito,$ 480,Quito/Pichincha,3 habitaciones/2 baños/100 m²,Campuscorp,30/12/2022,https://www.properati.com.ec/detalle/gxcq_alquiler_casa_quito_campuscorp
Alquiler,Casa en alquiler en Guayaquil,$ 720,Guayaquil/Guayas,2 habitaciones/2 baños/110 m²,Inmobiliaria Caracol,11/01/2023,https://www.properati.com.ec/detalle/gz4g_alquiler_casa_guayaquil_patio_piscina_garaje_cocina_comedor_inmobiliaria-caracol
Alquiler,Casa en alquiler en Cumbaya,$ 3.000,Cumbaya/Valle Tumbaco/Quito/Pichincha,4 habitaciones/4 baños/388 m²,PC INMOBILIARIA,15/12/2022,https://www.properati.com.ec/detalle/gvun_alquiler_casa_cumbaya_jardin_pc-inmobiliaria
Alquiler,Casa en alquiler en Via A La Costa,$ 1.200,Via A La Costa/Guayaquil/Guayas,4 habitaciones/4 baños/220 m²,Alexandra Prado,22/01/2023,https://www.properati.com.ec/detalle/h1mz_alquiler_casa_via-a-la-costa_gimnasio_patio_bodega_cocina_comedor_alexandra-prado
Alquiler,Casa en alquiler en Cumbaya,$ 1.900,Cumbaya/Valle Tumbaco/Quito/Pichincha,4 habitaciones/4 baños/300 m²,PC INMOBILIARIA,12/01/2023,https://www.properati.com.ec/detalle/gzg4_alquiler_casa_cumbaya_area-bbq_piscina_comedor_pc-inmobiliaria
Alquiler,Casa en alquiler en Cuenca,$ 1.600,Cuenca/Azuay,4 habitaciones/5 baños/303 m²,Bienes Raíces Catedral,20/01/2023,https://www.properati.com.ec/detalle/h1ix_alquiler_casa_cuenca_amoblados_patio_bodega_piscina_garaje_cocina_comedor_bienes-raices-catedral-com
