tipo,nombre,precio,localización,habitaciones,baños,area,vendedor,fecha de publicación,link,imagen
Alquiler,Casa en alquiler en Samborondon,$ 550,Samborondon/Samborondon/Guayaquil/Guayas,3 habitaciones,2 baños,110 m²,Mariuxi Vera,10/01/2023,https://www.properati.com.ec/detalle/gyxy_alquiler_casa_samborondon_patio_areas-verdes_piscina_cocina_comedor_mariuxi-vera_opbf,
Alquiler,Casa en alquiler en Tumbaco,$ 750,Tumbaco/Valle Tumbaco/Quito/Pichincha,3 habitaciones,3 baños,130 m²,Innova Real State,11/01/2023,https://www.properati.com.ec/detalle/gzc7_alquiler_casa_tumbaco_patio_garaje_comedor_innova-real-state_opk4,
Alquiler,Casa en alquiler en Cumbaya,$ 950,Cumbaya/Valle Tumbaco/Quito/Pichincha,3 habitaciones,3 baños,28195 m²,"Monicka Mena, Asesor Inmobiliario y de Remodelación",10/01/2023,https://www.properati.com.ec/detalle/gyvx_alquiler_casa_cumbaya_terraza_ventanales_cocina_comedor_monicka-mena-asesor-inmobiliario-y-de-remodelacio,
Alquiler,Casa en alquiler en Manta,$ 350,Manta/Manabi,3 habitaciones,2 baños,90 m²,Ing  Marisela Mero - Manta Bienes Raíces,12/01/2023,https://www.properati.com.ec/detalle/gzn3_alquiler_casa_manta_patio_cocina_comedor_ing-marisela-mero-manta-bienes-raices,
Alquiler,"Casa en arriendo, Norte de Quito, San Fernando",$ 400,"",3 habitaciones,2 baños,112 m²,"Monicka Mena, Asesor Inmobiliario y de Remodelación",17/01/2023,https://www.properati.com.ec/detalle/h03h_alquiler_casa_cochapamba_patio_cocina_comedor_monicka-mena-asesor-inmobiliario-y-de-remodelacio,
Alquiler,Casa en alquiler en Salitre,$ 420,Salitre/Guayas,3 habitaciones,3 baños,120 m²,VILLAGE REAL ESTATE,20/01/2023,https://www.properati.com.ec/detalle/h1eu_alquiler_casa_salitre_patio_piscina_cocina_comedor_village-real-estate,
Alquiler,Casa en alquiler en Cumbaya,$ 3.000,Cumbaya/Valle Tumbaco/Quito/Pichincha,4 habitaciones,4 baños,625 m²,Innova Real State,11/01/2023,https://www.properati.com.ec/detalle/gzbs_alquiler_casa_cumbaya_jardin_innova-real-state_opk4,
Alquiler,Casa en alquiler en Cumbaya,$ 2.400,Cumbaya/Valle Tumbaco/Quito/Pichincha,4 habitaciones,5 baños,1050 m²,Innova Real State,11/01/2023,https://www.properati.com.ec/detalle/gzbu_alquiler_casa_cumbaya_piscina_cocina_comedor_innova-real-state_opk4,
Alquiler,Casa en alquiler en Norte De Guayaquil,$ 580,Norte De Guayaquil/Guayaquil/Guayas,4 habitaciones,2 baños,357 m²,TOP REALTORS EC,24/12/2022,https://www.properati.com.ec/detalle/gx2e_alquiler_casa_norte-de-guayaquil_bodega_garaje_cocina_comedor_top-realtors-ec,
Alquiler,Casa en alquiler en Conocoto,$ 660,Conocoto/Valle Los Chillos/Quito/Pichincha,3 habitaciones,2 baños,160 m²,GLADYS GONZALEZ,27/12/2022,https://www.properati.com.ec/detalle/gx67_alquiler_casa_conocoto_patio_bodega_terraza_piscina_cocina_comedor_gladys-gonzalez,
Alquiler,Casa en alquiler en Norte De Guayaquil,$ 600,Norte De Guayaquil/Guayaquil/Guayas,3 habitaciones,2 baños,120 m²,REMAX EVOLUTION,11/01/2023,https://www.properati.com.ec/detalle/gz64_alquiler_casa_norte-de-guayaquil_patio_balcon_cocina_comedor_remax-capital,
